Country,Region,Year,Happiness Rank,Happiness Score,Economy,Family,Freedom,Health,Generosity,Trust
Qatar,Middle East and Northern Africa,2016,36,6.375,1.82427,0.87964,0.56679,0.71723,0.32388,0.48049
Spain,Western Europe,2016,37,6.3610000000000015,1.34253,1.12945,0.37545,0.8789600000000001,0.17665,0.061370000000000015
Algeria,Middle East and Northern Africa,2016,38,6.355,1.05266,0.83309,0.21006,0.6180399999999999,0.07044,0.16157
Guatemala,Latin America and Caribbean,2016,39,6.324,0.83454,0.8711899999999999,0.50379,0.5403899999999999,0.28808,0.08701
Suriname,Latin America and Caribbean,2016,40,6.269,1.09686,0.77866,0.5223399999999999,0.5093300000000001,0.16665,0.12692
Kuwait,Middle East and Northern Africa,2016,41,6.239,1.61714,0.8775799999999999,0.43166,0.63569,0.15965,0.23669
Bahrain,Middle East and Northern Africa,2016,42,6.218,1.44024,0.94397,0.47375,0.65696,0.17147,0.25772
Trinidad and Tobago,Latin America and Caribbean,2016,43,6.167999999999998,1.32572,0.98569,0.48453,0.52608,0.31935,0.01241
Venezuela,Latin America and Caribbean,2016,44,6.084,1.1336700000000002,1.03302,0.19847,0.6190399999999999,0.0425,0.08304
Slovakia,Central and Eastern Europe,2016,45,6.0779999999999985,1.27973,1.08268,0.23391,0.70367,0.13837,0.02947
El Salvador,Latin America and Caribbean,2016,46,6.068,0.8737,0.80975,0.37269,0.596,0.08877,0.10613
Malaysia,Southeastern Asia,2016,47,6.005,1.25142,0.88025,0.39031,0.62366,0.41474,0.09081
Nicaragua,Latin America and Caribbean,2016,48,5.992000000000001,0.69384,0.8952100000000001,0.46582,0.65213,0.29773,0.16292
Uzbekistan,Central and Eastern Europe,2016,49,5.987,0.7359100000000001,1.1681,0.60848,0.50163,0.34326,0.28333
Italy,Western Europe,2016,50,5.977,1.35495,1.04167,0.18827,0.8510200000000001,0.16684000000000002,0.02556
Ecuador,Latin America and Caribbean,2016,51,5.976,0.97306,0.85974,0.4027,0.68613,0.10074,0.18037
Belize,Latin America and Caribbean,2016,52,5.956,0.87616,0.68655,0.51231,0.45569,0.23684,0.10771
Japan,Eastern Asia,2016,53,5.921,1.38007,1.06054,0.46761,0.91491,0.10224,0.18985
Kazakhstan,Central and Eastern Europe,2016,54,5.919,1.22943,0.95544,0.4052,0.57386,0.15011,0.11132
Moldova,Central and Eastern Europe,2016,55,5.897,0.69177,0.8313200000000001,0.25202,0.5230899999999999,0.19997,0.01903
Russia,Central and Eastern Europe,2016,56,5.856,1.2322799999999998,1.05261,0.32682,0.58991,0.02736,0.03586
Poland,Central and Eastern Europe,2016,57,5.835,1.24585,1.04685,0.4519,0.69058,0.14443,0.055
South Korea,Eastern Asia,2016,57,5.835,1.35948,0.7219399999999999,0.25168,0.88645,0.18824,0.07716
Bolivia,Latin America and Caribbean,2016,59,5.822,0.79422,0.8377899999999999,0.50961,0.4697,0.21698,0.07746
Lithuania,Central and Eastern Europe,2016,60,5.813,1.2692,1.06411,0.18929,0.64674,0.02025,0.0182
Belarus,Central and Eastern Europe,2016,61,5.8020000000000005,1.1306200000000002,1.04993,0.29091,0.6310399999999999,0.13942000000000002,0.17457
North Cyprus,Western Europe,2016,62,5.771,1.31141,0.81826,0.43596,0.8414200000000001,0.26322,0.16577999999999998
Slovenia,Central and Eastern Europe,2016,63,5.768,1.29947,1.05613,0.53164,0.79151,0.25738,0.03635
Peru,Latin America and Caribbean,2016,64,5.7429999999999986,0.99602,0.81255,0.37502,0.6299399999999999,0.14527,0.05292
Turkmenistan,Central and Eastern Europe,2016,65,5.658,1.08017,1.03817,0.37408,0.4400600000000001,0.22567,0.28467
Mauritius,Sub-Saharan Africa,2016,66,5.648,1.14372,0.75695,0.46145,0.66189,0.36951,0.052029999999999986
Libya,Middle East and Northern Africa,2016,67,5.615,1.0668799999999998,0.95076,0.40672,0.52304,0.17087,0.10339
Latvia,Central and Eastern Europe,2016,68,5.56,1.21788,0.95025,0.27996,0.63952,0.17445,0.0889
Cyprus,Western Europe,2016,69,5.546,1.31857,0.70697,0.29507,0.8488,0.27906,0.052279999999999986
Paraguay,Latin America and Caribbean,2016,70,5.5379999999999985,0.8937299999999999,1.11111,0.46235,0.58295,0.25296,0.07396
Romania,Central and Eastern Europe,2016,71,5.528,1.1697,0.7280300000000001,0.36712,0.67602,0.12889,0.006790000000000001
Estonia,Central and Eastern Europe,2016,72,5.517,1.27964,1.0516299999999998,0.41511,0.68098,0.08423,0.18519
Jamaica,Latin America and Caribbean,2016,73,5.51,0.89333,0.96372,0.43597,0.5946899999999999,0.22245,0.04294
Croatia,Central and Eastern Europe,2016,74,5.488,1.18649,0.6080899999999999,0.23907,0.70524,0.18434,0.04002
Hong Kong,Eastern Asia,2016,75,5.457999999999998,1.5107,0.87021,0.48079,0.95277,0.40097,0.31647
Somalia,Sub-Saharan Africa,2016,76,5.44,0.0,0.33613000000000004,0.5677800000000001,0.11465999999999997,0.27225,0.3118
Kosovo,Central and Eastern Europe,2016,77,5.401,0.90145,0.66062,0.14396,0.54,0.27992,0.06547
